Task_ID,Project_ID,Employee_ID,Employee_Name,Task_Name,Assigned_Date,Due_Date,Completed_Date,Hours_Worked,Estimated_Hours,Task_Status,Task_Priority,Task_Type,Bug_Count,Rework_Hours,Is_Completed,Is_Late,Hours_Variance,Efficiency_Ratio
TSK000022,PRJ0001,EMP0370,Aarav Krishnan,Development task #23,2025-04-16,2025-05-01,2025-05-01,64.5,45.6,Completed,High,Testing,0,0.0,True,False,18.9,0.71
TSK000023,PRJ0001,EMP0312,Navya Das,Documentation task #24,2024-12-14,2025-01-01,2025-01-01,77.0,56.9,Completed,High,Design,0,0.0,True,False,20.1,0.74
TSK000024,PRJ0001,EMP0572,Aryan Rao,Bug Fix task #25,2025-06-04,2025-06-09,2025-06-14,43.0,35.3,Completed,Low,Design,0,0.0,True,True,7.700000000000003,0.82
TSK000025,PRJ0001,EMP0185,Kabir Malhotra,Deployment task #26,2025-04-14,2025-04-26,2025-04-27,31.3,26.5,Completed,Medium,Bug Fix,2,5.7,True,True,4.800000000000001,0.85
TSK000026,PRJ0001,EMP0441,Anika Verma,Deployment task #27,2025-06-24,2025-07-15,2025-07-13,53.1,44.6,Completed,Medium,Research,2,3.8,True,False,8.5,0.84
TSK000027,PRJ0001,EMP0407,Kabir Malhotra,Code Review task #28,2024-11-25,2024-12-06,2024-12-07,52.1,44.7,Completed,Low,Documentation,0,0.0,True,True,7.399999999999999,0.86
TSK000028,PRJ0001,EMP0323,Kabir Krishnan,Development task #29,2024-11-30,2024-12-10,,25.7,47.2,To Do,Medium,Deployment,0,0.0,False,False,-21.500000000000004,1.84
TSK000029,PRJ0001,EMP0160,Aadhya Kumar,Documentation task #30,2024-12-30,2025-01-19,2025-01-18,17.5,18.8,Completed,High,Testing,0,0.0,True,False,-1.3000000000000007,1.07
TSK000030,PRJ0001,EMP0333,Aditya Krishnan,Code Review task #31,2025-06-15,2025-07-02,2025-07-02,40.9,31.0,Completed,Low,Bug Fix,2,5.5,True,False,9.899999999999999,0.76
TSK000031,PRJ0001,EMP0081,Ira Malhotra,Documentation task #32,2025-06-12,2025-06-24,2025-07-06,10.2,7.1,Completed,High,Development,1,2.7,True,True,3.0999999999999996,0.7
TSK000032,PRJ0001,EMP0392,Navya Sharma,Design task #33,2024-12-08,2024-12-11,2024-12-10,25.5,21.1,Completed,Low,Bug Fix,0,0.0,True,False,4.399999999999999,0.83
TSK000033,PRJ0001,EMP0457,Kavya Menon,Deployment task #34,2025-06-05,2025-06-23,2025-06-23,40.6,37.3,Completed,Low,Research,0,0.0,True,False,3.3000000000000043,0.92
TSK000034,PRJ0001,EMP0586,Dhruv Krishnan,Design task #35,2025-06-03,2025-06-17,2025-06-16,7.2,6.8,Completed,Medium,Documentation,0,0.0,True,False,0.40000000000000036,0.94
TSK000035,PRJ0002,EMP0405,Aadhya Kumar,Testing task #36,2023-07-12,2023-07-30,2023-07-30,27.1,35.4,Completed,Low,Bug Fix,0,0.0,True,False,-8.299999999999997,1.31
TSK000036,PRJ0002,EMP0434,Kavya Malhotra,Deployment task #37,2023-10-07,2023-10-19,2023-10-18,30.3,23.5,Completed,High,Research,0,0.0,True,False,6.800000000000001,0.78
TSK000037,PRJ0002,EMP0150,Aryan Bose,Testing task #38,2023-11-14,2023-11-23,2023-11-28,6.7,6.5,Completed,High,Development,0,0.0,True,True,0.20000000000000018,0.97
TSK000038,PRJ0002,EMP0249,Sara Nair,Documentation task #39,2023-06-17,2023-06-28,2023-06-26,69.8,52.7,Completed,High,Documentation,1,1.6,True,False,17.099999999999994,0.76
TSK000039,PRJ0002,EMP0209,Sara Nair,Development task #40,2023-08-13,2023-09-03,2023-09-15,0.0,34.7,Completed,Medium,Design,0,0.0,True,True,-34.7,
TSK000040,PRJ0002,EMP0062,Ishaan Bose,Code Review task #41,2023-08-26,2023-09-16,2023-09-15,17.0,15.2,Completed,High,Deployment,0,0.0,True,False,1.8000000000000007,0.89
TSK000041,PRJ0002,EMP0111,Ira Kumar,Deployment task #42,2023-04-12,2023-04-26,2023-04-26,21.3,20.4,Completed,Medium,Testing,0,0.0,True,False,0.9000000000000021,0.96
TSK000042,PRJ0002,EMP0191,Aditya Krishnan,Research task #43,2023-07-13,2023-07-29,2023-08-06,42.9,32.0,Completed,Medium,Design,2,5.6,True,True,10.899999999999999,0.75
TSK000043,PRJ0002,EMP0019,Advait Kumar,Development task #44,2023-09-27,2023-10-10,2023-10-09,38.6,42.3,Completed,High,Code Review,0,0.0,True,False,-3.6999999999999957,1.1
TSK000044,PRJ0002,EMP0397,Rudra Bose,Documentation task #45,2023-04-18,2023-04-28,2023-04-30,57.3,56.9,Completed,Medium,Documentation,2,1.7,True,True,0.3999999999999986,0.99
TSK000045,PRJ0002,EMP0587,Rudra Kapoor,Documentation task #46,2023-06-20,2023-07-01,,12.8,27.9,Blocked,Low,Code Review,0,0.0,False,False,-15.099999999999998,2.18
TSK000046,PRJ0002,EMP0537,Aryan Pillai,Testing task #47,2023-06-11,2023-06-17,2023-06-20,34.0,28.1,Completed,Low,Deployment,0,0.0,True,True,5.899999999999999,0.83
TSK000047,PRJ0002,EMP0150,Aryan Bose,Code Review task #48,2023-04-18,2023-05-03,,21.3,46.9,Blocked,Low,Documentation,0,0.0,False,False,-25.599999999999998,2.2
TSK000048,PRJ0002,EMP0110,Veer Verma,Documentation task #49,2023-06-09,2023-06-30,2023-06-30,17.8,14.3,Completed,High,Development,0,0.0,True,False,3.5,0.8
TSK000049,PRJ0002,EMP0368,Sara Singh,Bug Fix task #50,2023-05-13,2023-05-30,2023-05-31,62.1,42.5,Completed,Medium,Research,1,2.1,True,True,19.6,0.68
TSK000050,PRJ0002,EMP0141,Aarav Pillai,Documentation task #51,2023-06-25,2023-06-28,2023-06-27,23.3,14.8,Completed,High,Documentation,0,0.0,True,False,8.5,0.64
TSK000051,PRJ0002,EMP0210,Saanvi Krishnan,Documentation task #52,2023-05-06,2023-05-22,2023-05-24,15.9,13.9,Completed,Medium,Bug Fix,0,0.0,True,True,2.0,0.87
TSK000052,PRJ0002,EMP0043,Navya Gupta,Development task #53,2023-10-14,2023-10-28,2023-10-29,60.6,44.3,Completed,High,Testing,0,0.0,True,True,16.300000000000004,0.73
TSK000053,PRJ0002,EMP0463,Aditya Verma,Bug Fix task #54,2023-11-22,2023-11-25,2023-11-26,46.3,50.3,Completed,High,Development,1,3.0,True,True,-4.0,1.09
TSK000054,PRJ0002,EMP0195,Dhruv Kapoor,Development task #55,2023-08-30,2023-09-10,2023-09-10,27.4,28.6,Completed,High,Design,0,0.0,True,False,-1.2000000000000028,1.04
TSK000055,PRJ0002,EMP0475,Aarav Iyer,Design task #56,2023-11-20,2023-12-08,2023-12-06,12.7,9.1,Completed,Medium,Bug Fix,0,0.0,True,False,3.5999999999999996,0.72
TSK000056,PRJ0002,EMP0332,Aryan Sharma,Design task #57,2023-11-19,2023-12-05,2023-12-17,7.2,5.4,Completed,High,Testing,1,1.6,True,True,1.7999999999999998,0.75
TSK000057,PRJ0002,EMP0094,Advait Reddy,Design task #58,2023-05-31,2023-06-13,2023-06-13,58.1,43.5,Completed,Medium,Bug Fix,0,0.0,True,False,14.600000000000001,0.75
TSK000058,PRJ0002,EMP0045,Arnav Kapoor,Development task #59,2023-06-29,2023-07-19,2023-07-21,81.3,55.1,Completed,Medium,Code Review,2,1.7,True,True,26.199999999999996,0.68
TSK000059,PRJ0002,EMP0317,Riya Sharma,Research task #60,2023-11-17,2023-11-24,2023-11-24,16.5,20.2,Completed,Medium,Research,2,4.1,True,False,-3.6999999999999993,1.22
TSK000060,PRJ0002,EMP0557,Ira Verma,Testing task #61,2023-04-05,2023-04-22,2023-04-30,46.7,38.0,Completed,High,Development,0,0.0,True,True,8.700000000000003,0.81
TSK000061,PRJ0002,EMP0251,Yuvan Malhotra,Design task #62,2023-08-23,2023-09-11,2023-09-13,34.3,38.7,Completed,Low,Code Review,1,0.6,True,True,-4.400000000000006,1.13
TSK000062,PRJ0002,EMP0340,Kabir Krishnan,Design task #63,2023-05-17,2023-06-01,,4.3,6.7,In Progress,Medium,Deployment,0,0.0,False,False,-2.4000000000000004,1.56
TSK000063,PRJ0002,EMP0037,Kiaan Singh,Code Review task #64,2023-05-20,2023-06-01,2023-05-30,48.9,47.0,Completed,Medium,Design,3,4.7,True,False,1.8999999999999986,0.96
TSK000064,PRJ0002,EMP0125,Zara Kumar,Testing task #65,2023-08-21,2023-09-05,2023-09-08,29.7,22.4,Completed,Medium,Code Review,0,0.0,True,True,7.300000000000001,0.75
TSK000065,PRJ0002,EMP0438,Advait Pillai,Research task #66,2023-09-12,2023-10-02,,15.6,18.5,Blocked,Medium,Design,0,0.0,False,False,-2.9000000000000004,1.19
TSK000066,PRJ0002,EMP0239,Meera Krishnan,Documentation task #67,2023-08-29,2023-08-31,2023-08-30,65.8,58.8,Completed,High,Bug Fix,0,0.0,True,False,7.0,0.89
TSK000067,PRJ0002,EMP0424,Diya Sharma,Code Review task #68,2023-04-26,2023-05-15,2023-05-14,20.2,22.7,Completed,Low,Code Review,0,0.0,True,False,-2.5,1.12
TSK000068,PRJ0002,EMP0308,Rudra Reddy,Development task #69,2023-09-15,2023-09-20,2023-09-19,47.3,47.0,Completed,Low,Documentation,0,0.0,True,False,0.29999999999999716,0.99
TSK000069,PRJ0002,EMP0339,Vihaan Pillai,Deployment task #70,2023-09-23,2023-10-10,,34.3,55.6,In Progress,Medium,Bug Fix,2,4.1,False,False,-21.300000000000004,1.62
TSK000070,PRJ0003,EMP0058,Zara Kapoor,Deployment task #71,2025-09-04,2025-09-16,2025-09-16,14.9,20.8,Completed,Low,Design,2,2.7,True,False,-5.9,1.4
TSK000071,PRJ0003,EMP0288,Kiaan Reddy,Code Review task #72,2025-05-01,2025-05-15,2025-05-16,33.5,23.0,Completed,High,Deployment,1,1.5,True,True,10.5,0.69
TSK000072,PRJ0003,EMP0033,Advait Malhotra,Code Review task #73,2025-07-02,2025-07-19,2025-07-19,28.1,27.2,Completed,Low,Testing,0,0.0,True,False,0.9000000000000021,0.97
TSK000073,PRJ0003,EMP0384,Aryan Pillai,Research task #74,2025-05-03,2025-05-07,2025-05-10,34.4,47.6,Completed,High,Code Review,1,1.8,True,True,-13.200000000000003,1.38
TSK000074,PRJ0003,EMP0336,Kabir Pillai,Development task #75,2025-05-30,2025-06-04,2025-06-09,72.7,47.1,Completed,Medium,Bug Fix,0,0.0,True,True,25.6,0.65
TSK000075,PRJ0003,EMP0535,Ira Menon,Code Review task #76,2025-05-23,2025-05-26,2025-05-26,5.2,4.2,Completed,Low,Code Review,3,5.0,True,False,1.0,0.81
TSK000076,PRJ0003,EMP0215,Veer Krishnan,Code Review task #77,2025-07-15,2025-07-26,2025-08-03,15.0,15.2,Completed,Low,Development,1,0.8,True,True,-0.1999999999999993,1.01
TSK000077,PRJ0003,EMP0574,Aditya Pillai,Documentation task #78,2025-09-02,2025-09-21,2025-09-20,9.6,9.7,Completed,Low,Testing,2,4.5,True,False,-0.09999999999999964,1.01
TSK000078,PRJ0003,EMP0319,Advait Pillai,Development task #79,2025-07-19,2025-07-22,2025-07-27,38.5,34.3,Completed,Low,Bug Fix,0,0.0,True,True,4.200000000000003,0.89
TSK000079,PRJ0003,EMP0402,Rudra Gupta,Deployment task #80,2025-06-08,2025-06-28,2025-07-01,57.5,43.5,Completed,Low,Testing,0,0.0,True,True,14.0,0.76
TSK000080,PRJ0003,EMP0477,Advait Kapoor,Research task #81,2025-09-16,2025-10-02,2025-10-02,11.2,11.4,Completed,Low,Documentation,0,0.0,True,False,-0.20000000000000107,1.02
TSK000081,PRJ0003,EMP0148,Zara Kumar,Research task #82,2025-06-29,2025-07-13,2025-07-13,84.1,55.1,Completed,Low,Testing,1,2.7,True,False,28.999999999999993,0.66
TSK000082,PRJ0003,EMP0487,Sara Nair,Bug Fix task #83,2025-05-22,2025-06-07,2025-06-08,22.6,23.7,Completed,High,Testing,2,3.9,True,True,-1.0999999999999979,1.05
TSK000083,PRJ0003,EMP0334,Ishaan Das,Design task #84,2025-09-13,2025-09-24,2025-09-27,42.9,40.4,Completed,Medium,Bug Fix,0,0.0,True,True,2.5,0.94
TSK000084,PRJ0003,EMP0068,Arnav Pillai,Documentation task #85,2025-07-20,2025-08-09,2025-08-14,24.8,15.7,Completed,Low,Testing,0,0.0,True,True,9.100000000000001,0.63
TSK000085,PRJ0003,EMP0588,Kiaan Malhotra,Bug Fix task #86,2025-08-26,2025-09-16,2025-09-16,12.5,10.4,Completed,Low,Testing,0,0.0,True,False,2.0999999999999996,0.83
TSK000086,PRJ0003,EMP0389,Kavya Kapoor,Development task #87,2025-07-16,2025-07-19,2025-07-22,45.5,31.7,Completed,Low,Design,0,0.0,True,True,13.8,0.7
TSK000087,PRJ0003,EMP0464,Ananya Malhotra,Code Review task #88,2025-09-07,2025-09-28,2025-09-27,17.8,20.3,Completed,Medium,Deployment,0,0.0,True,False,-2.5,1.14
TSK000088,PRJ0003,EMP0092,Aditya Bose,Development task #89,2025-09-20,2025-10-08,2025-10-08,3.7,4.5,Completed,Low,Deployment,3,4.3,True,False,-0.7999999999999998,1.22
TSK000089,PRJ0003,EMP0113,Kabir Bose,Bug Fix task #90,2025-07-05,2025-07-14,2025-07-15,64.6,52.5,Completed,Medium,Bug Fix,0,0.0,True,True,12.099999999999994,0.81
TSK000090,PRJ0003,EMP0559,Myra Malhotra,Bug Fix task #91,2025-06-17,2025-07-04,2025-07-04,49.3,41.1,Completed,Low,Code Review,0,0.0,True,False,8.199999999999996,0.83
TSK000091,PRJ0003,EMP0129,Ishaan Krishnan,Design task #92,2025-05-28,2025-05-30,2025-05-30,6.9,4.6,Completed,Low,Design,0,0.0,True,False,2.3000000000000007,0.67
TSK000092,PRJ0003,EMP0426,Riya Bose,Research task #93,2025-08-18,2025-09-08,,13.2,54.0,To Do,Medium,Deployment,0,0.0,False,False,-40.8,4.09
TSK000093,PRJ0003,EMP0232,Advait Kapoor,Deployment task #94,2025-06-10,2025-06-12,2025-06-17,40.6,27.8,Completed,Low,Development,1,1.8,True,True,12.8,0.68
TSK000094,PRJ0003,EMP0582,Veer Malhotra,Code Review task #95,2025-08-25,2025-08-30,2025-08-31,68.1,43.5,Completed,Medium,Testing,1,2.3,True,True,24.599999999999994,0.64
TSK000095,PRJ0003,EMP0536,Rudra Gupta,Development task #96,2025-05-16,2025-05-20,2025-05-21,21.0,17.7,Completed,Medium,Research,2,4.1,True,True,3.3000000000000007,0.84
TSK000096,PRJ0003,EMP0525,Kabir Krishnan,Development task #97,2025-08-22,2025-09-03,2025-09-08,56.5,36.1,Completed,High,Code Review,0,0.0,True,True,20.4,0.64
TSK000097,PRJ0003,EMP0578,Dhruv Kapoor,Development task #98,2025-06-29,2025-07-16,2025-07-24,9.0,7.4,Completed,Medium,Research,0,0.0,True,True,1.5999999999999996,0.82
TSK000098,PRJ0003,EMP0085,Navya Sharma,Design task #99,2025-05-26,2025-06-05,2025-06-06,40.5,32.3,Completed,High,Design,3,3.4,True,True,8.200000000000003,0.8
TSK000099,PRJ0003,EMP0458,Aadhya Nair,Testing task #100,2025-07-27,2025-08-06,2025-08-07,44.9,49.2,Completed,Low,Design,1,1.8,True,True,-4.300000000000004,1.1
TSK000100,PRJ0003,EMP0508,Diya Sharma,Development task #101,2025-08-07,2025-08-16,2025-08-18,63.7,47.1,Completed,High,Code Review,3,5.8,True,True,16.6,0.74
TSK000101,PRJ0003,EMP0119,Diya Krishnan,Documentation task #102,2025-05-07,2025-05-21,2025-06-02,15.1,13.4,Completed,Medium,Bug Fix,0,0.0,True,True,1.6999999999999993,0.89
TSK000102,PRJ0003,EMP0486,Vihaan Kumar,Development task #103,2025-06-30,2025-07-15,2025-07-18,18.6,12.1,Completed,Low,Deployment,0,0.0,True,True,6.500000000000002,0.65
TSK000103,PRJ0003,EMP0443,Advait Menon,Documentation task #104,2025-07-02,2025-07-12,2025-07-20,21.2,22.8,Completed,High,Documentation,2,3.3,True,True,-1.6000000000000014,1.08
TSK000104,PRJ0003,EMP0533,Navya Pillai,Bug Fix task #105,2025-07-19,2025-07-26,2025-07-26,29.8,42.0,Completed,Low,Testing,0,0.0,True,False,-12.2,1.41
TSK000105,PRJ0003,EMP0457,Kavya Menon,Documentation task #106,2025-07-22,2025-08-02,2025-08-02,11.9,16.3,Completed,High,Testing,0,0.0,True,False,-4.4,1.37
TSK000106,PRJ0003,EMP0123,Sara Nair,Design task #107,2025-05-16,2025-05-22,2025-05-25,72.1,52.0,Completed,Low,Design,0,0.0,True,True,20.099999999999994,0.72
TSK000107,PRJ0003,EMP0260,Arnav Sharma,Deployment task #108,2025-07-08,2025-07-12,2025-07-10,46.1,30.1,Completed,Medium,Design,1,1.6,True,False,16.0,0.65
TSK000108,PRJ0003,EMP0076,Aadhya Rao,Testing task #109,2025-07-03,2025-07-17,2025-07-18,75.8,47.5,Completed,Medium,Documentation,2,5.1,True,True,28.299999999999997,0.63
TSK000109,PRJ0003,EMP0403,Anika Singh,Code Review task #110,2025-06-08,2025-06-13,2025-06-15,55.8,40.1,Completed,Low,Development,1,2.1,True,True,15.699999999999996,0.72
TSK000110,PRJ0003,EMP0075,Diya Malhotra,Development task #111,2025-05-12,2025-05-22,2025-05-23,25.8,36.0,Completed,Low,Bug Fix,0,0.0,True,True,-10.2,1.4
TSK000111,PRJ0003,EMP0273,Ishaan Sharma,Bug Fix task #112,2025-06-01,2025-06-15,2025-06-14,50.3,43.2,Completed,Medium,Testing,0,0.0,True,False,7.099999999999994,0.86
TSK000112,PRJ0003,EMP0554,Ira Kumar,Code Review task #113,2025-06-20,2025-07-07,2025-07-08,5.0,4.2,Completed,Medium,Development,0,0.0,True,True,0.7999999999999998,0.84
TSK000113,PRJ0004,EMP0093,Shaurya Iyer,Design task #114,2023-07-05,2023-07-17,2023-07-17,37.8,33.9,Completed,High,Development,0,0.0,True,False,3.8999999999999986,0.9
TSK000114,PRJ0004,EMP0394,Aditya Gupta,Documentation task #115,2023-09-19,2023-10-03,,9.6,14.7,To Do,Low,Development,2,5.4,False,False,-5.1,1.53
TSK000115,PRJ0004,EMP0198,Navya Sharma,Research task #116,2023-04-09,2023-04-29,2023-05-01,46.5,44.3,Completed,High,Research,0,0.0,True,True,2.200000000000003,0.95
TSK000116,PRJ0004,EMP0017,Vihaan Kapoor,Research task #117,2023-04-12,2023-04-24,2023-04-22,17.0,23.0,Completed,High,Design,1,2.5,True,False,-6.0,1.35
TSK000117,PRJ0004,EMP0594,Rudra Malhotra,Development task #118,2023-06-01,2023-06-04,2023-06-12,63.6,55.8,Completed,Low,Design,0,0.0,True,True,7.800000000000004,0.88
TSK000118,PRJ0004,EMP0015,Advait Rao,Testing task #119,2023-05-17,2023-05-28,2023-05-28,31.0,39.4,Completed,Low,Testing,0,0.0,True,False,-8.399999999999999,1.27
TSK000119,PRJ0004,EMP0510,Rudra Rao,Bug Fix task #120,2023-09-02,2023-09-11,2023-09-09,43.1,48.8,Completed,Medium,Testing,2,5.2,True,False,-5.699999999999996,1.13
TSK000120,PRJ0004,EMP0590,Ira Bose,Bug Fix task #121,2023-08-20,2023-08-28,2023-08-26,14.4,11.7,Completed,Low,Deployment,1,0.8,True,False,2.700000000000001,0.81
TSK000121,PRJ0004,EMP0567,Kavya Verma,Design task #122,2023-05-15,2023-06-04,2023-06-09,22.6,28.6,Completed,Low,Research,0,0.0,True,True,-6.0,1.27
TSK000122,PRJ0004,EMP0083,Ishaan Singh,Research task #123,2023-04-04,2023-04-08,2023-04-07,5.4,4.4,Completed,High,Design,0,0.0,True,False,1.0,0.81
TSK000123,PRJ0004,EMP0212,Tara Gupta,Research task #124,2023-05-09,2023-05-27,2023-05-25,36.4,39.8,Completed,High,Testing,1,2.2,True,False,-3.3999999999999986,1.09
TSK000124,PRJ0004,EMP0309,Rudra Menon,Documentation task #125,2023-07-01,2023-07-20,2023-07-18,22.2,27.5,Completed,Medium,Documentation,2,1.5,True,False,-5.300000000000001,1.24
TSK000125,PRJ0004,EMP0284,Myra Rao,Development task #126,2023-04-16,2023-04-22,2023-04-23,23.3,14.8,Completed,Low,Deployment,1,0.9,True,True,8.5,0.64
TSK000126,PRJ0004,EMP0292,Meera Krishnan,Development task #127,2023-05-26,2023-06-07,2023-06-06,42.5,28.3,Completed,High,Design,0,0.0,True,False,14.2,0.67
TSK000127,PRJ0004,EMP0162,Reyansh Kumar,Deployment task #128,2023-10-21,2023-11-08,2023-11-13,8.4,5.6,Completed,Medium,Documentation,0,0.0,True,True,2.8000000000000007,0.67
TSK000128,PRJ0004,EMP0334,Ishaan Das,Testing task #129,2023-05-31,2023-06-12,2023-06-20,43.5,47.6,Completed,Medium,Research,1,1.0,True,True,-4.100000000000001,1.09
TSK000129,PRJ0004,EMP0056,Ishaan Kapoor,Code Review task #130,2023-07-23,2023-08-13,2023-08-15,12.7,12.1,Completed,Low,Deployment,1,2.3,True,True,0.5999999999999996,0.95
TSK000130,PRJ0004,EMP0131,Kiaan Gupta,Documentation task #131,2023-04-11,2023-04-14,2023-04-13,34.2,42.8,Completed,Medium,Design,2,3.1,True,False,-8.599999999999994,1.25
TSK000131,PRJ0004,EMP0175,Saanvi Malhotra,Research task #132,2023-08-28,2023-09-06,2023-09-06,85.8,58.3,Completed,Medium,Code Review,0,0.0,True,False,27.5,0.68
TSK000132,PRJ0004,EMP0015,Advait Rao,Design task #133,2023-10-06,2023-10-15,2023-10-17,30.5,28.0,Completed,High,Development,0,0.0,True,True,2.5,0.92
TSK000133,PRJ0004,EMP0428,Ananya Verma,Testing task #134,2023-04-14,2023-05-01,2023-04-30,7.2,6.2,Completed,Medium,Research,1,1.5,True,False,1.0,0.86
TSK000134,PRJ0004,EMP0247,Aditya Kumar,Documentation task #135,2023-04-24,2023-04-26,2023-04-28,37.6,35.3,Completed,High,Testing,0,0.0,True,True,2.3000000000000043,0.94
TSK000135,PRJ0004,EMP0017,Vihaan Kapoor,Research task #136,2023-08-03,2023-08-10,2023-08-08,61.1,41.5,Completed,Medium,Design,0,0.0,True,False,19.6,0.68
TSK000136,PRJ0004,EMP0416,Anika Gupta,Deployment task #137,2023-05-20,2023-06-02,2023-06-02,64.3,48.2,Completed,High,Development,3,6.2,True,False,16.099999999999994,0.75
TSK000137,PRJ0004,EMP0304,Vihaan Kumar,Deployment task #138,2023-07-21,2023-08-11,2023-08-13,65.4,46.2,Completed,High,Development,0,0.0,True,True,19.200000000000003,0.71
TSK000138,PRJ0004,EMP0528,Anika Malhotra,Design task #139,2023-09-22,2023-09-25,2023-09-24,25.1,24.4,Completed,High,Testing,0,0.0,True,False,0.7000000000000028,0.97
TSK000139,PRJ0004,EMP0575,Meera Gupta,Documentation task #140,2023-10-01,2023-10-07,,25.1,47.3,In Progress,High,Documentation,0,0.0,False,False,-22.199999999999996,1.88
TSK000140,PRJ0004,EMP0329,Tara Reddy,Testing task #141,2023-07-02,2023-07-20,2023-07-20,51.6,54.3,Completed,Medium,Code Review,1,1.4,True,False,-2.6999999999999957,1.05
TSK000141,PRJ0004,EMP0463,Aditya Verma,Design task #142,2023-09-08,2023-09-12,2023-09-10,36.8,24.6,Completed,Medium,Testing,0,0.0,True,False,12.199999999999996,0.67
TSK000142,PRJ0004,EMP0112,Aditya Gupta,Code Review task #143,2023-05-15,2023-05-21,2023-05-19,29.0,19.5,Completed,Medium,Design,0,0.0,True,False,9.5,0.67
